======================================================================
greencheck mutate - does your gate actually say no?
======================================================================
baseline   : C:<path>  (1 files)
baseline rc: 0  PASS (baseline is clean, mutating)
mutants    : 168
gate       : python case_study/third_party/gate.py {target}/package.json

----------------------------------------------------------------------
      caught  drop-file:package.json
      caught  empty-file:package.json
      caught  drop-line:package.json:1:{
   * ESCAPED  drop-line:package.json:2:"name": "express",
   * ESCAPED  drop-line:package.json:3:"description": "Fast, unopin...
   * ESCAPED  drop-line:package.json:4:"version": "5.2.1",
   * ESCAPED  drop-line:package.json:5:"author": "TJ Holowaychuk <t...
      caught  drop-line:package.json:6:"contributors": [
   * ESCAPED  drop-line:package.json:7:"Aaron Heckmann <aaron.heckm...
   * ESCAPED  drop-line:package.json:8:"Ciaran Jessup <<redacted-email>
   * ESCAPED  drop-line:package.json:9:"Douglas Christopher Wilson ...
   * ESCAPED  drop-line:package.json:10:"Guillermo Rauch <<redacted-email>
   * ESCAPED  drop-line:package.json:11:"Jonathan Ong <<redacted-email>
   * ESCAPED  drop-line:package.json:12:"Roman Shtylman <shtylman+ex...
      caught  drop-line:package.json:13:"Young Jae Sim <<redacted-email>
      caught  drop-line:package.json:14:],
   * ESCAPED  drop-line:package.json:15:"license": "MIT",
   * ESCAPED  drop-line:package.json:16:"repository": "expressjs/exp...
   * ESCAPED  drop-line:package.json:17:"homepage": "https://express...
      caught  drop-line:package.json:18:"funding": {
   * ESCAPED  drop-line:package.json:19:"type": "opencollective",
      caught  drop-line:package.json:20:"url": "https://opencollecti...
      caught  drop-line:package.json:21:},
      caught  drop-line:package.json:22:"keywords": [
   * ESCAPED  drop-line:package.json:23:"express",
   * ESCAPED  drop-line:package.json:24:"framework",
   * ESCAPED  drop-line:package.json:25:"sinatra",
   * ESCAPED  drop-line:package.json:26:"web",
   * ESCAPED  drop-line:package.json:27:"http",
   * ESCAPED  drop-line:package.json:28:"rest",
   * ESCAPED  drop-line:package.json:29:"restful",
   * ESCAPED  drop-line:package.json:30:"router",
